maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
3	g1	d	NA	20/12/2019	8:00	17.479	17.53	0
3	g1	d	i	21/12/2019	NA	17.492	17.492	0
3	g1	d	NA	22/12/2019	NA	17.454	17.454	0
3	g1	d	NA	23/12/2019	7:00	17.433	17.532	0
3	g1	d	NA	24/12/2019	9:00	17.456	17.521	0
3	g1	d	i	25/12/2019	NA	17.448	17.448	0
3	g1	d	NA	26/12/2019	9:00	17.374	17.535	0
3	g1	d	i	27/12/2019	NA	17.4865	17.4865	0
3	g1	d	NA	28/12/2019	9:00	17.438	17.538	0
3	g1	d	i	29/12/2019	NA	17.458	17.458	0
3	g1	d	NA	30/12/2019	10:00	17.378	17.528	0
3	g1	d	NA	31/12/2019	9:00	17.5	17.553	0
3	g1	d	i	1/1/2020	NA	17.4985	17.4985	0
3	g1	d	NA	2/1/2020	8:00	17.444	17.541	0
3	g1	d	i	3/1/2020	NA	17.45783333	17.45783333	0
3	g1	d	NA	4/1/2020	9:00	17.383	17.536	0
3	g1	d	i	5/1/2020	NA	17.4495	17.4495	0
3	g1	d	NA	6/1/2020	7:00	17.363	17.536	0
3	g1	d	i	7/1/2020	NA	17.4255	17.4255	0
3	g1	d	NA	8/1/2020	8:15	17.315	17.535	0
3	g1	d	i	9/1/2020	NA	17.4525	17.4525	0
3	g1	d	NA	10/1/2020	8:00	17.37	17.535	0
3	g1	d	i	11/1/2020	NA	17.4405	17.4405	0
3	g1	d	NA	12/1/2020	9:00	17.346	17.538	0
3	g1	d	i	13/1/2020	NA	17.4405	17.4405	0
3	g1	d	NA	14/1/2020	10:00	17.343	17.536	0
3	g1	d	i	15/1/2020	NA	17.478	17.478	0
3	g1	d	NA	16/1/2020	8:20	17.42	17.537	0
3	g1	d	i	17/1/2020	NA	17.459	17.459	0
3	g1	d	NA	18/1/2020	7:20	17.35	17.535	0
3	g1	d	i	19/1/2020	NA	17.4465	17.4465	0
3	g1	d	NA	20/1/2020	7:45	17.358	17.535	0
3	g1	d	i	21/1/2020	NA	17.4365	17.4365	0
3	g1	d	NA	22/1/2020	8:00	17.338	17.533	0
3	g1	d	i	23/1/2020	NA	17.437	17.437	0
3	g1	d	NA	24/1/2020	7:40	17.341	17.526	0
3	g1	d	i	25/1/2020	NA	17.4055	17.4055	0
3	g1	d	NA	26/1/2020	8:00	17.285	17.533	0
3	g1	d	i	27/1/2020	NA	17.432	17.432	0
3	g1	d	NA	28/1/2020	8:00	17.331	17.532	0
3	g1	d	i	29/1/2020	NA	17.441	17.441	0
3	g1	d	NA	30/1/2020	8:00	17.35	17.529	0
3	g1	d	i	31/1/2020	NA	17.435	17.435	0
3	g1	d	NA	1/2/2020	7:30	17.340	17.535	0
3	g1	d	i	2/2/2020	NA	17.423	17.423	0
3	g1	d	NA	3/2/2020	8:00	17.310	17.533	0
3	g1	d	i	4/2/2020	NA	17.417	17.417	0
3	g1	d	NA	5/2/2020	8:00	17.301	17.528	0
3	g1	d	i	6/2/2020	NA	17.420	17.420	0
3	g1	d	NA	7/2/2020	NA	17.311	17.532	0
3	g1	d	i	8/2/2020	NA	17.455	17.455	0
3	g1	d	i	9/2/2020	NA	17.378	17.378	0
3	g1	d	NA	10/2/2020	NA	17.300	17.530	0
3	g1	d	i	11/2/2020	NA	17.449	17.449	0
3	g1	d	NA	12/2/2020	NA	17.368	17.528	0
3	g1	d	i	13/2/2020	NA	17.400	17.400	0
3	g1	d	i	14/2/2020	NA	17.272	17.272	0.538
3	g1	d	NA	15/2/2020	NA	17.682	17.682	0
3	g1	d	i	16/2/2020	NA	17.571	17.571	0
3	g1	d	NA	17/2/2020	NA	17.459	17.529	0
3	g1	d	i	18/2/2020	NA	17.459	17.459	0
3	g1	d	NA	19/2/2020	NA	17.388	17.535	0
3	g1	d	i	20/2/2020	NA	17.455	17.455	0
3	g1	d	NA	21/2/2020	NA	17.374	17.530	0
3	g1	d	i	22/2/2020	NA	17.456	17.456	0
3	g1	d	NA	23/2/2020	NA	17.382	17.534	0
3	g1	d	i	24/2/2020	NA	17.450	17.450	0
3	g1	d	NA	25/2/2020	NA	17.366	17.535	0
